0.50	0.034666425 1.957442986
1.00	0.077848559 1.944949632
1.50	0.129317649 1.875638924
2.00	0.211912803 1.792160168
2.20	0.276535956 1.728838667
2.40	0.324983704 1.672495709
2.60	0.414597174 1.578395953
2.80	0.539530653 1.456090279
2.85	0.555977371 1.444177034
2.90	0.713760957 1.286348503
2.95	0.943884269 1.056968361
3.00	0.999593813 1.000431721
3.00	0.999593813 1.000431721
3.05	0.999681588 1.000129034
3.10	0.999683144 1.000178635
3.20	0.999938927 1.000228883
3.40	0.999834655 1.000194518
3.60	0.999863259 1.000218303
3.80	0.999834013 1.000047149
4.00	0.999833580 1.000093930
