0.50	0.996890773 0.996787763
1.00	0.978505865 0.978854243
1.50	0.917223445 0.913916451
2.00	0.775048718 0.761104360
2.20	0.666715476 0.656411484
2.40	0.574165538 0.571723076
2.60	0.417892531 0.433706984
2.80	0.270110205 0.279263155
2.85	0.255439242 0.249258819
2.90	0.064509707 0.064836457
2.95	0.013707636 0.006917078
3.00	0.207181326 0.212019965
3.00	0.207181326 0.212019965
3.05	0.209386755 0.209594171
3.10	0.209214201 0.209122523
3.20	0.204675114 0.204469858
3.40	0.190433976 0.190655768
3.60	0.175043970 0.174632113
3.80	0.159901661 0.160205352
4.00	0.146400446 0.146500858
